DATE,MAIN,VOO,QQQ
2024-10-31,951.42,905.75,894.56
2024-11-01,941.49,909.67,901.16
2024-11-02,938.87,909.67,901.16
2024-11-03,931.44,909.67,901.16
2024-11-04,943.26,932.39,923.23
2024-11-05,964.79,943.55,934.99
2024-11-06,1052.14,966.94,960.34
2024-11-07,1055.84,974.44,975.43
2024-11-08,1064.75,978.72,976.57
2024-11-09,1067.99,978.72,976.57
2024-11-10,1119.4,978.72,976.57
2024-11-11,1261.19,1004.63,1001.11
2024-11-12,1253.38,1001.63,999.3
2024-11-13,1291.3,1002.14,998.02
2024-11-14,1241.96,995.8,991.09
2024-11-15,1296.41,983.01,967.52
2024-11-16,1288.14,983.01,967.52
2024-11-17,1278.45,983.01,967.52
2024-11-18,1312.98,1012.15,999.32
2024-11-19,1340.85,1015.82,1006.19
2024-11-20,1366.62,1016.19,1005.61
2024-11-21,1426.01,1021.3,1009.22
2024-11-22,1436.51,1024.71,1010.83
2024-11-23,1422.0,1024.71,1010.83
2024-11-24,1425.27,1024.71,1010.83
2024-11-25,1375.9,1053.18,1037.62
2024-11-26,1359.25,1059.06,1043.18
2024-11-27,1417.6,1055.7,1034.98
2024-11-28,1413.28,1055.7,1034.98
2024-11-29,1442.35,1061.24,1044.06
2024-11-30,1427.44,1061.24,1044.06
2024-12-01,1441.81,1061.24,1044.06
2024-12-02,1444.48,1089.65,1080.84
2024-12-03,1444.04,1089.9,1084.14
2024-12-04,1487.43,1096.74,1097.53
2024-12-05,1455.85,1094.93,1094.49
2024-12-06,1504.59,1097.1,1104.27
2024-12-07,1507.25,1097.1,1104.27
2024-12-08,1528.12,1097.1,1104.27
2024-12-09,1489.18,1116.44,1120.71
2024-12-10,1474.2,1113.28,1116.9
2024-12-11,1543.11,1121.68,1136.86
2024-12-12,1525.21,1115.92,1129.54
2024-12-13,1546.15,1115.84,1138.17
2024-12-14,1542.68,1115.84,1138.17
2024-12-15,1611.59,1115.84,1138.17
2024-12-16,1636.12,1120.2,1154.54
2024-12-17,1636.22,1115.52,1149.46
2024-12-18,1539.46,1082.89,1108.06
2024-12-19,1518.77,1107.83,1128.47
2024-12-20,1523.25,1120.32,1138.31
2024-12-21,1515.97,1120.32,1138.31
2024-12-22,1482.57,1120.32,1138.31
2024-12-23,1504.3,1157.22,1176.51
2024-12-24,1567.49,1169.05,1192.42
2024-12-25,1576.44,1169.05,1192.42
2024-12-26,1543.66,1194.14,1216.72
2024-12-27,1518.21,1181.84,1200.59
2024-12-28,1536.24,1181.84,1200.59
2024-12-29,1509.06,1181.84,1200.59
2024-12-30,1495.18,1168.78,1184.67
2024-12-31,1507.77,1164.1,1174.64
2025-01-01,1524.81,1164.1,1174.64
2025-01-02,1565.82,1161.2,1172.35
2025-01-03,1592.85,1176.09,1191.48
2025-01-04,1597.95,1176.09,1191.48
2025-01-05,1596.72,1176.09,1191.48
2025-01-06,1680.48,1207.6,1229.83
2025-01-07,1591.61,1194.1,1207.95
2025-01-08,1560.87,1195.7,1208.16
2025-01-09,1516.4,1195.7,1208.16
2025-01-10,1553.84,1177.63,1189.27
2025-01-11,1553.12,1177.63,1189.27
2025-01-12,1550.89,1177.63,1189.27
2025-01-13,1551.8,1179.14,1185.46
2025-01-14,1612.15,1205.5,1209.21
2025-01-15,1681.46,1227.4,1236.94
2025-01-16,1667.73,1225.59,1228.3
2025-01-17,1750.68,1237.26,1248.97
2025-01-18,1745.84,1237.26,1248.97
2025-01-19,1685.18,1237.26,1248.97
2025-01-20,1722.81,1237.26,1248.97
2025-01-21,1793.08,1248.45,1256.28
2025-01-22,1775.88,1280.69,1297.48
2025-01-23,1778.78,1287.74,1300.23
2025-01-24,1792.57,1283.89,1292.91
2025-01-25,1791.46,1283.89,1292.91
