,QLD,QQQ,TQQQ,VOO
2024-11-15,51.34501266479492,492.647705078125,36.707496643066406,530.2594604492188
2024-11-18,52.07815933227539,496.0704650878906,37.4488639831543,532.455322265625
2024-11-19,52.77140426635742,499.4832763671875,38.20011901855469,534.3952026367188
2024-11-20,52.706573486328125,499.1955871582031,38.155635833740234,534.5921020507812
2024-11-21,53.09059524536133,500.9913024902344,38.5312614440918,537.2901611328125
2024-11-22,53.22525787353515,501.7948913574219,38.67459487915039,539.0921630859375
2024-11-25,53.38984298706055,502.5885620117187,38.85251998901367,540.8252563476562
2024-11-26,53.948429107666016,505.2870788574219,39.45549774169922,543.858154296875
2024-11-27,53.09059524536133,501.3087768554687,38.501609802246094,542.125
2024-11-29,53.96837615966797,505.7136840820313,39.48514938354492,544.980712890625
2024-12-02,55.14539337158203,511.2198486328125,40.76525115966797,546.516845703125
2024-12-03,55.494510650634766,512.787353515625,41.12604522705078,546.6448974609375
2024-12-04,56.846092224121094,519.126953125,42.628543853759766,550.09130859375
2024-12-05,56.531883239746094,517.6883544921875,42.27763748168945,549.1754760742188
2024-12-06,57.51939010620117,522.3214721679688,43.364967346191406,550.2685546875
2024-12-09,56.59672546386719,518.2538452148438,42.351768493652344,547.4030151367188
2024-12-10,56.182769775390625,516.4878540039062,41.89212417602539,545.8472290039062
2024-12-11,58.2076416015625,525.7342529296875,44.13105010986328,549.9830322265625
2024-12-12,57.444576263427734,522.34130859375,43.25623321533203,547.14697265625
2024-12-13,58.29242706298828,526.3394775390625,44.1854133605957,547.1076049804688
2024-12-16,59.973175048828125,533.9190673828125,46.1080207824707,549.2542724609375
2024-12-17,59.43952941894531,531.5678100585938,45.49021911621094,546.9500732421875
2024-12-18,55.150386810302734,512.3905639648438,40.57248306274414,530.8896484375
2024-12-19,54.616737365722656,510.1086730957031,39.99916458129883,530.692626953125
2024-12-20,55.58428192138672,514.563232421875,41.03707504272461,536.6993408203125
2024-12-23,56.62771987915039,519.5764770507812,42.18009567260742,540.5411376953125
2024-12-24,58.15468978881836,526.621826171875,43.85619354248047,546.1027221679688
2024-12-26,58.049896240234375,526.2640380859375,43.7619743347168,546.0928344726562
2024-12-27,56.468040466308594,519.2684326171875,41.98174285888672,540.4324951171875
2024-12-30,54.95602798461914,512.3621215820312,40.29573059082031,534.4164428710938
2024-12-31,54.01289749145508,508.0097961425781,39.23948669433594,532.262939453125
2025-01-02,53.77337646484375,507.0160827636719,38.991546630859375,530.9293212890625
2025-01-03,55.52989196777344,515.3134765625,40.86104202270508,537.7849731445312
2025-01-06,56.792388916015625,521.23583984375,42.25447845458984,540.9164428710938
2025-01-07,54.7464485168457,511.9348449707031,39.978363037109375,534.831298828125
2025-01-08,54.75642776489258,512.0244140625,40.008113861083984,535.552490234375
2025-01-10,53.009891510009766,503.99517822265625,38.09895324707031,527.4027099609375
2025-01-13,52.680545806884766,502.37548828125,37.702239990234375,528.0842895507812
2025-01-14,52.555789947509766,501.8985290527344,37.568355560302734,528.7560424804688
2025-01-15,54.93107986450195,513.4453735351562,40.10729217529297,538.4271240234375
2025-01-16,54.19753646850586,509.84814453125,39.289085388183594,537.626953125
2025-01-17,55.98399353027344,518.4535522460938,41.227989196777344,542.7835693359375
2025-01-21,56.587799072265625,521.4942626953125,41.912315368652344,547.7228393554688
2025-01-22,58.06486511230469,528.1619873046875,43.53883361816406,550.83447265625
2025-01-23,58.31936264038086,529.2848510742188,43.806602478027344,553.8869018554688
2025-01-24,57.63072204589844,526.2938842773438,43.01815032958984,552.2174682617188
2025-01-27,54.22248840332031,510.9710388183594,39.24444961547851,544.5320434570312
2025-01-28,55.854251861572266,518.5231323242188,40.98501205444336,549.0958862304688
2025-01-29,55.62969970703125,517.5492553710938,40.73210525512695,546.685546875
2025-01-30,56.09377670288086,519.7553100585938,41.24287033081055,549.5404052734375
2025-01-31,55.894168853759766,519.0000610351562,41.01972579956055,546.6065063476562
2025-02-03,55.00593566894531,514.846435546875,40.027950286865234,543.0206298828125
2025-02-04,56.34827423095703,521.1663818359375,41.480899810791016,546.626220703125
2025-02-05,56.8422966003418,523.5314331054688,42.02141571044922,548.86865234375
2025-02-06,57.4161491394043,526.2640380859375,42.65119171142578,550.8442993164062
2025-02-07,55.96403503417969,519.6261596679688,41.02467727661133,545.490234375
2025-02-10,57.28142166137695,525.916259765625,42.46771240234375,549.3922729492188
2025-02-11,57.01195526123047,524.6641845703125,42.16522216796875,549.8861083984375
2025-02-12,57.07682418823242,524.9722290039062,42.24951934814453,548.0685424804688
2025-02-13,58.7036018371582,532.5244140625,44.02975082397461,553.8572998046875
2025-02-14,59.1527099609375,534.7601928710938,44.54547882080078,553.8770751953125
2025-02-18,59.41219711303711,535.9725341796875,44.82316970825195,555.4774169921875
2025-02-19,59.442138671875,536.12158203125,44.8281364440918,556.8208618164062
2025-02-20,58.91318130493164,533.845947265625,44.282657623291016,554.4796752929688
2025-02-21,56.45804977416992,522.7662353515625,41.510650634765625,545.0457153320312
2025-02-24,55.09575653076172,516.5953979492188,40.018028259277344,542.4674072265625
2025-02-25,53.69852828979492,510.0866088867187,38.49070358276367,539.7705688476562
2025-02-26,53.94303512573242,511.3187561035156,38.7386474609375,540.1065063476562
2025-02-27,50.968936920166016,497.1187744140625,35.525299072265625,531.43310546875
2025-02-28,52.54081726074219,504.9690551757813,37.15180969238281,539.6915283203125
2025-03-03,50.2952766418457,493.9190979003906,34.7517204284668,530.3958129882812
2025-03-04,49.92600631713867,492.4285278320313,34.3698844909668,524.0045776367188
2025-03-05,51.2334098815918,498.8478088378906,35.708778381347656,529.8822631835938
2025-03-06,48.414005279541016,485.1248168945313,32.74833297729492,520.2704467773438
2025-03-07,49.08267974853515,488.6922302246094,33.42770767211914,523.075927734375
2025-03-10,45.365047454833984,469.7523193359375,29.658964157104492,509.2460632324219
2025-03-11,45.035701751708984,468.62939453125,29.311845779418945,505.0674743652344
2025-03-12,46.07364273071289,473.9159240722656,30.313535690307617,507.517333984375
2025-03-13,44.386985778808594,465.3899536132813,28.65727424621582,500.8888244628906
2025-03-14,46.50279235839844,476.6386413574219,30.690410614013672,511.1724548339844
2025-03-17,47.10160446166992,479.7290344238281,31.28547477722168,515.0742797851562
2025-03-18,45.509761810302734,471.5509033203125,29.708553314208984,509.64117431640625
2025-03-19,46.66746520996094,477.86090087890625,30.863969802856445,514.995361328125
2025-03-20,46.35807800292969,476.2411804199219,30.546602249145508,513.8099365234375
2025-03-21,46.68742752075195,477.8112182617187,30.834217071533203,513.9383544921875
2025-03-24,48.65353012084961,488.29644775390625,32.79296875,522.9573974609375
2025-03-25,49.232383728027344,491.0829162597656,33.378108978271484,524.2020874023438
2025-03-26,47.42348861694336,482.0467224121094,31.52200508117676,518.08740234375
2025-03-27,46.85945892333984,479.2999877929687,30.9848690032959,516.6619262695312
2025-03-28,44.39369583129883,466.6810607910156,28.51801490783691,506.3426818847656
2025-03-31,44.363746643066406,466.6611633300781,28.49812126159668,509.425537109375
2025-04-01,45.05755233764648,470.4230041503906,29.15462303161621,511.2990417480469
2025-04-02,45.7164192199707,473.8563232421875,29.806148529052734,514.3819580078125
2025-04-03,40.82982635498047,448.4891357421875,25.01667594909668,489.8478698730469
2025-04-04,35.84339141845703,420.6339721679687,20.43608665466309,461.4577941894531
2025-04-07,35.94820785522461,421.6490478515625,20.51566505432129,459.514892578125
2025-04-08,34.610511779785156,414.0557861328125,19.346893310546875,452.75439453125
2025-04-09,42.74153518676758,463.7552185058594,26.165552139282227,494.7447814941406
2025-04-10,39.24754333496094,444.03070068359375,22.94770050048828,477.8534851074219
2025-04-11,40.63515853881836,452.2110900878906,24.161237716674805,486.2693481445313
2025-04-14,41.199188232421875,455.2762756347656,24.66853141784668,491.1563720703125
2025-04-15,41.29402542114258,455.7838439941406,24.76302719116211,489.7785034179687
2025-04-16,38.813289642333984,442.0403442382813,22.52495574951172,479.0132751464844
2025-04-17,38.75339126586914,441.9607238769531,22.460298538208008,479.6773986816406
2025-04-21,36.856651306152344,431.0236206054687,20.819046020507812,468.2480163574219
2025-04-22,38.7384147644043,442.3388977050781,22.410564422607425,480.0640563964844
2025-04-23,40.46045684814453,452.370361328125,23.89763832092285,487.776123046875
2025-04-24,42.76150131225586,465.0987243652344,25.931798934936523,498.0259094238281
2025-04-25,43.70487976074219,470.28363037109375,26.787240982055664,501.693603515625
2025-04-28,43.68491744995117,470.1343688964844,26.767345428466797,502.00091552734375
2025-04-29,44.2239875793457,473.2393493652344,27.289562225341797,505.0440979003906
2025-04-30,44.21400451660156,473.1795959472656,27.294536590576172,505.29193115234375
2025-05-01,45.297142028808594,479.3596801757813,28.234525680541992,508.8703918457031
2025-05-02,46.689754486083984,486.4752197265625,29.55747413635254,516.166259765625
2025-05-05,46.14069747924805,483.5892333984375,29.04520606994629,513.469970703125
2025-05-06,45.29214859008789,479.0910034179687,28.219606399536133,509.0984497070313
2025-05-07,45.631568908691406,480.9718627929687,28.5478572845459,511.398193359375
2025-05-08,46.54000473022461,485.9378356933594,29.39832305908203,514.8082275390625
2025-05-09,46.460147857666016,485.6194152832031,29.328693389892575,514.124267578125
2025-05-12,50.2436408996582,505.4036254882813,32.87976837158203,531.2434692382812
2025-05-13,51.756046295166016,513.1063842773438,34.38673782348633,534.7327880859375
2025-05-14,52.374977111816406,516.1814575195312,34.99350357055664,535.3968505859375
2025-05-15,52.489784240722656,516.7486572265625,35.10292434692383,538.0238037109375
